,DEPT,CALI,BS,hole enlarged,GR,NPHS,PE,RT20,RT30,RT60,RT90,RXO,RT10,RHOB (kg/m3),Bulk_Density_gm/cm3,NN_predicted_Density,xgb_pred_Density
672,3106.2,221.429,222,-0.57,89.6541,0.0855,3.204,83.6747,79.5406,77.6018,81.1735,91.3045,90.7312,2598.863,2.598863,2.660820384,2.6685
673,3106.3,221.3905,222,-0.61,88.7328,0.088,3.2242,87.4827,82.9445,80.9031,84.8306,95.7847,95.1802,2605.1543,2.6051543,2.65312207,2.6346662
674,3106.4,221.452,222,-0.55,85.6098,0.0897,3.2051,94.2731,88.988,86.7109,91.2729,103.9714,103.259,2608.3796,2.6083796,2.637565285,2.6252978
675,3106.5,221.4866,222,-0.51,77.5641,0.0815,3.1501,108.4215,101.4349,98.607,104.62,121.5648,120.423,2611.1338,2.6111338,2.630558581,2.6458285
676,3106.6,221.1504,222,-0.85,75.1048,0.0786,3.1419,110.5207,103.2705,100.359,106.6334,124.0332,122.8528,2610.0354,2.6100354,2.63555582,2.660246
677,3106.7,221.2018,222,-0.8,75.4795,0.0812,3.168,108.4119,101.4443,98.6211,104.7151,120.9936,120.0094,2614.0696,2.6140696,2.633409812,2.6452334
678,3106.8,221.2338,222,-0.77,82.8733,0.0852,3.2404,99.1417,93.3505,90.8756,96.0902,108.889,108.3168,2617.8042,2.6178042,2.647364488,2.6447406
679,3106.9,221.196,222,-0.8,87.9326,0.0872,3.2649,95.2814,89.9634,87.6104,92.4697,104.0438,103.5687,2626.3826,2.6263826,2.656575408,2.6606126
680,3107,221.2818,222,-0.72,90.4583,0.0894,3.2797,92.9176,87.8936,85.5915,90.2382,101.1182,100.694,2635.3115,2.6353115,2.656845375,2.6456113
681,3107.1,221.4102,222,-0.59,87.71,0.0904,3.3015,90.8247,86.0777,83.7474,88.2005,98.6389,98.2596,2663.1296,2.6631296,2.655114119,2.6685526
682,3107.2,221.2543,222,-0.75,86.8785,0.0889,3.3359,88.9249,84.3927,82.085,86.3595,96.4165,96.067,2670.1252,2.6701252,2.663156739,2.6677122
683,3107.3,221.5214,222,-0.48,89.5565,0.0877,3.3798,85.7675,81.5642,79.3407,83.328,92.7116,92.3995,2672.7466,2.6727466,2.676655007,2.6791623
684,3107.4,221.5929,222,-0.41,98.3556,0.0923,3.4546,78.5049,74.9917,72.9949,76.3527,84.2998,84.0379,2674.4336,2.6744336,2.694349947,2.6829095
685,3107.5,221.6998,222,-0.3,101.1156,0.0936,3.4534,75.7865,72.5094,70.5933,73.7229,81.1881,80.94,2680.531,2.680531,2.69931639,2.6840506
686,3107.6,221.5086,222,-0.49,102.5171,0.0951,3.4427,74.2342,71.0822,69.2007,72.1956,79.4109,79.1778,2687.1768,2.6871768,2.696866231,2.686953
687,3107.7,221.705,222,-0.29,102.8879,0.0942,3.4176,74.0401,70.8919,68.9887,71.9506,79.1929,78.9729,2691.2671,2.6912671,2.694820584,2.68593
688,3107.8,221.6025,222,-0.4,96.189,0.0918,3.3655,76.2925,72.9116,70.8564,73.9458,81.8945,81.6764,2687.7039,2.6877039,2.682154236,2.697976
689,3107.9,221.631,222,-0.37,93.515,0.0896,3.349,76.6777,73.2443,71.1576,74.2579,82.4424,82.2153,2685.7102,2.6857102,2.67995726,2.6982644
690,3108,221.7184,222,-0.28,93.0855,0.09,3.3609,75.2848,71.9633,69.9394,72.9238,80.9284,80.6933,2688.3306,2.6883306,2.682169701,2.7042716
691,3108.1,221.7104,222,-0.29,98.746,0.093,3.4589,68.3484,65.6159,63.9259,66.4162,73.0541,72.8374,2696.5867,2.6965867,2.698169936,2.6956694
692,3108.2,221.7715,222,-0.23,99.8118,0.0954,3.4927,64.618,62.1898,60.6747,62.923,68.8158,68.629,2699.7217,2.6997217,2.700256184,2.7069736
693,3108.3,221.9282,222,-0.07,100.7604,0.0992,3.5007,61.6646,59.472,58.0936,60.162,65.4674,65.3174,2698.7842,2.6987842,2.696746517,2.6946542
694,3108.4,221.7926,222,-0.21,105.48,0.1061,3.4788,59.1942,57.2153,55.964,57.9039,62.6594,62.5599,2698.1997,2.6981997,2.68512436,2.661274
695,3108.5,221.6972,222,-0.3,107.9472,0.1059,3.4928,59.925,57.9168,56.6514,58.6527,63.4799,63.3818,2699.9158,2.6999158,2.691383188,2.685678
696,3108.6,221.7568,222,-0.24,107.6193,0.1024,3.5078,61.941,59.8127,58.4829,60.6325,65.7725,65.6588,2706.6919,2.7066919,2.701565123,2.691325
697,3108.7,221.5658,222,-0.43,98.6718,0.0914,3.4729,67.2083,64.7336,63.2206,65.7841,71.8097,71.6608,2713.0557,2.7130557,2.702052012,2.7036185
698,3108.8,221.7737,222,-0.23,93.8077,0.0876,3.4189,68.3344,65.7916,64.246,66.9284,73.0578,72.9336,2709.4778,2.7094778,2.695055068,2.696543
699,3108.9,221.695,222,-0.31,91.1415,0.0854,3.3655,67.8002,65.3154,63.804,66.4894,72.3838,72.2792,2697.3591,2.6973591,2.688521457,2.7139657
700,3109,221.867,222,-0.13,88.3073,0.0883,3.2805,64.797,62.5699,61.1945,63.7453,68.8426,68.7381,2676.1572,2.6761572,2.675831545,2.6864955
701,3109.1,221.8284,222,-0.17,85.4927,0.0906,3.2348,63.9763,61.8248,60.4839,63.0152,67.8656,67.7638,2669.5376,2.6695376,2.662840759,2.6522725
702,3109.2,221.7711,222,-0.23,82.7835,0.0908,3.1799,63.9446,61.8092,60.4685,63.0363,67.7936,67.6963,2666.5134,2.6665134,2.65382154,2.6637104
703,3109.3,221.733,222,-0.27,83.1153,0.088,3.1323,64.5987,62.4257,61.054,63.7079,68.4985,68.4065,2660.021,2.660021,2.659650756,2.647725
704,3109.4,221.5703,222,-0.43,87.2884,0.0882,3.1029,68.7549,66.2703,64.7013,67.7527,73.1409,73.0661,2633.7876,2.6337876,2.662515023,2.642804
705,3109.5,221.7723,222,-0.23,88.1121,0.093,3.1274,72.9065,70.0755,68.2999,71.7326,77.8753,77.8064,2620.4326,2.6204326,2.649357091,2.6410983
706,3109.6,221.9356,222,-0.06,86.6912,0.0949,3.1611,78.2905,74.9684,72.9043,76.8472,84.1051,84.0403,2610.3972,2.6103972,2.637871696,2.6382895
707,3109.7,222.0753,222,0.08,81.6358,0.0933,3.2458,89.2425,84.7642,82.0031,87.0556,96.979,96.9608,2599.1055,2.5991055,2.633758968,2.6186442
708,3109.8,221.9548,222,-0.05,79.4887,0.0934,3.2806,92.7184,87.8111,84.7529,90.1776,101.0988,101.1039,2593.7285,2.5937285,2.631716447,2.6286082
709,3109.9,222.0186,222,0.02,78.6962,0.0923,3.3032,94.2591,89.1281,85.8574,91.4492,102.914,102.9291,2591.9297,2.5919297,2.636281161,2.6366258
710,3110,221.8815,222,-0.12,78.1029,0.0889,3.2805,91.602,86.6936,83.3115,88.6155,99.7902,99.7762,2591.7561,2.5917561,2.643599477,2.6358018
711,3110.1,221.8053,222,-0.19,79.5902,0.0877,3.2485,86.7101,82.3035,79.0973,83.8948,94.0757,94.0299,2595.9954,2.5959954,2.647569238,2.6272566
712,3110.2,221.9124,222,-0.09,82.4907,0.0861,3.2166,79.4174,75.7212,72.8588,76.9451,85.6235,85.5453,2597.2412,2.5972412,2.656930516,2.629295
713,3110.3,221.8869,222,-0.11,90.7199,0.0852,3.184,63.4287,61.0642,58.9979,61.7029,67.4711,67.3519,2600.2344,2.6002344,2.666667137,2.6931515
714,3110.4,221.9995,222,0,92.5,0.087,3.1752,57.3901,55.4348,53.6513,55.898,60.8044,60.6723,2600.6011,2.6006011,2.658615304,2.6441638
715,3110.5,221.9195,222,-0.08,92.7264,0.0907,3.1729,52.9482,51.2522,49.6631,51.5946,56.0034,55.8576,2606.5022,2.6065022,2.65300815,2.6426454
